District,state,Population,Growth,Sex-Ratio,Literacy
Sambalpur,Orissa,"10,41,099",11.27%,976,76.22
Sirohi,Rajasthan,"10,36,346",21.76%,940,55.25
Mahasamund,Chhattisgarh,"10,32,754",20.05%,1017,71.02
Gumla,Jharkhand,"10,25,213",23.16%,993,65.73
Jhabua,Madhya Pradesh,"10,25,048",30.70%,990,43.3
Chamarajanagar,Karnataka,"10,20,791",5.73%,993,61.43
Panna,Madhya Pradesh,"10,16,520",18.67%,905,64.79
Goalpara,Assam,"10,08,183",22.64%,964,67.37
Baramula,Jammu and Kashmir,"10,08,039",19.45%,885,64.63
Lakhisarai,Bihar,"10,00,912",24.77%,902,62.42
Mandi,Himachal Pradesh,"9,99,777",10.92%,1007,81.53
Moga,Punjab,"9,95,746",11.28%,893,70.68
Mohali,Punjab,"9,94,628",33.15%,879,83.8
Chitrakoot,Uttar Pradesh,"9,91,730",29.43%,879,65.05
Bangalore Rural,Karnataka,"9,90,923",16.45%,946,77.93
Rayagada,Orissa,"9,67,911",16.46%,1051,49.76
Kurukshetra,Haryana,"9,64,655",16.86%,888,76.31
Nayagarh,Orissa,"9,62,789",11.37%,915,80.42
Jhajjar,Haryana,"9,58,405",8.90%,862,80.65
Morigaon,Assam,"9,57,423",23.34%,967,68.03
Karbi Anglong,Assam,"9,56,313",17.58%,951,69.25
Nainital,Uttarakhand,"9,54,605",25.13%,934,83.88
Puducherry,Puducherry,"9,50,289",29.23%,1029,85.44
Baksa,Assam,"9,50,075",10.74%,974,69.25
Ramgarh,Jharkhand,"9,49,443",13.10%,921,73.17
Fatehabad,Haryana,"9,42,011",16.85%,902,67.92
Darrang,Assam,"9,28,500",22.19%,954,63.08
Mahendragarh,Haryana,"9,22,088",13.48%,895,77.72
Muktsar,Punjab,"9,01,896",16.00%,896,65.81
Pakur,Jharkhand,"9,00,422",28.33%,989,48.82
Rewari,Haryana,"9,00,332",17.64%,898,80.99
North Delhi,Delhi,"8,87,978",13.62%,869,86.85
Kokrajhar,Assam,"8,87,142",5.21%,959,65.22
South Tripura,Tripura,"8,76,001",14.15%,957,84.66
Mahoba,Uttar Pradesh,"8,75,958",23.64%,878,65.27
Kupwara,Jammu and Kashmir,"8,70,354",33.82%,835,64.51
Pratapgarh,Rajasthan,"8,67,848",22.78%,983,55.97
Jashpur,Chhattisgarh,"8,51,669",14.60%,1005,67.92
Sindhudurg,Maharashtra,"8,49,651",-2.21%,1036,85.56
Ashoknagar,Madhya Pradesh,"8,45,071",22.66%,904,66.42
Udalguri,Assam,"8,31,668",9.61%,973,65.41
Neemuch,Madhya Pradesh,"8,26,067",13.77%,954,70.8
East Khasi Hills,Meghalaya,"8,25,922",24.96%,1011,84.15
Kabirdham,Chhattisgarh,"8,22,526",40.71%,996,60.85
North Goa,Goa,"8,18,008",7.84%,963,89.57
Wayanad,Kerala,"8,17,420",4.71%,1035,89.03
Kapurthala,Punjab,"8,15,168",8.04%,912,79.07
Shimla,Himachal Pradesh,"8,14,010",12.67%,915,83.64
Tapi,Gujarat,"8,07,022",12.14%,1007,68.26
Dhamtari,Chhattisgarh,"7,99,781",13.19%,1010,78.36
Jamtara,Jharkhand,"7,91,042",21.12%,954,64.59
Datia,Madhya Pradesh,"7,86,754",18.46%,873,72.63
Nalbari,Assam,"7,71,639",11.99%,949,78.63
Mansa,Punjab,"7,69,751",11.76%,883,61.83
Burhanpur,Madhya Pradesh,"7,57,847",19.37%,951,64.36
Ariyalur,Tamil Nadu,"7,54,894",8.54%,1015,71.34
Badgam,Jammu and Kashmir,"7,53,745",24.14%,894,56.08
Anuppur,Madhya Pradesh,"7,49,237",12.30%,976,67.88
Kanker,Chhattisgarh,"7,48,941",15.06%,1006,70.29
Bongaigaon,Assam,"7,38,804",20.59%,966,69.74
The Nilgiris,Tamil Nadu,"7,35,394",-3.51%,1042,85.2
Kandhamal,Orissa,"7,33,110",13.10%,1037,64.13
Alirajpur,Madhya Pradesh,"7,28,999",19.45%,1011,36.1
Latehar,Jharkhand,"7,26,978",29.61%,967,59.51
Kodarma,Jharkhand,"7,16,259",43.42%,950,66.84
Dindori,Madhya Pradesh,"7,04,524",21.32%,1002,63.9
Arwal,Bihar,"7,00,843",18.89%,928,67.43
North Tripura,Tripura,"6,93,947",17.44%,967,87.5
Sheopur,Madhya Pradesh,"6,87,861",22.94%,901,57.43
Pauri Garhwal,Uttarakhand,"6,87,271",-1.41%,1103,82.02
Dhemaji,Assam,"6,86,133",19.97%,953,72.7
Rupnagar,Punjab,"6,84,627",8.87%,915,82.19
Jaisalmer,Rajasthan,"6,69,919",31.81%,852,57.22
Hailakandi,Assam,"6,59,296",21.45%,951,74.33
Korea,Chhattisgarh,"6,58,917",12.38%,968,70.64
Sheohar,Bihar,"6,56,246",27.19%,893,53.78
Umaria,Madhya Pradesh,"6,44,758",24.96%,950,65.89
West Garo Hills,Meghalaya,"6,43,291",24.09%,984,67.58
Rajouri,Jammu and Kashmir,"6,42,415",32.93%,860,68.17
South Goa,Goa,"6,40,537",8.73%,986,87.59
Sheikhpura,Bihar,"6,36,342",21.09%,930,63.86
Almora,Uttarakhand,"6,22,506",-1.28%,1139,80.47
Tehri Garhwal,Uttarakhand,"6,18,931",2.35%,1077,76.36
Faridkot,Punjab,"6,17,508",12.09%,890,69.55
Kathua,Jammu and Kashmir,"6,16,435",20.53%,890,73.09
Malkangiri,Orissa,"6,13,192",21.62%,1020,48.54
Shahid Bhagat Singh Nagar,Punjab,"6,12,310",4.23%,954,79.78
Nuapada,Orissa,"6,10,382",15.02%,1021,57.35
Subarnapur,Orissa,"6,10,183",12.61%,960,74.42
Fatehgarh Sahib,Punjab,"6,00,163",11.46%,871,79.35
Simdega,Jharkhand,"5,99,578",16.58%,997,67.99
Barnala,Punjab,"5,95,527",13.02%,876,67.82
Narmada,Gujarat,"5,90,297",14.75%,961,72.31
Porbandar,Gujarat,"5,85,449",9.06%,950,75.78
Central Delhi,Delhi,"5,82,320",-9.91%,892,85.14
Solan,Himachal Pradesh,"5,80,320",15.93%,880,83.68
Jharsuguda,Orissa,"5,79,505",13.69%,953,78.86
Gajapati,Orissa,"5,77,817",11.37%,1043,53.49
Harda,Madhya Pradesh,"5,70,465",20.25%,935,72.5
Perambalur,Tamil Nadu,"5,65,223",14.50%,1003,74.32
Panchkula,Haryana,"5,61,293",19.83%,873,81.88
Pulwama,Jammu and Kashmir,"5,60,440",27.00%,912,63.48
Udhampur,Jammu and Kashmir,"5,54,985",20.78%,870,68.49
Kodagu,Karnataka,"5,54,519",1.09%,1019,82.61
Dantewada,Chhattisgarh,"5,33,638",12.08%,1020,42.12
Khunti,Jharkhand,"5,31,885",22.32%,997,63.86
Sirmaur,Himachal Pradesh,"5,29,855",15.54%,918,78.8
Una,Himachal Pradesh,"5,21,173",16.26%,976,86.53
Chamba,Himachal Pradesh,"5,19,080",12.63%,986,72.17
Imphal West,Manipur,"5,17,992",16.56%,1031,86.08
Pithoragarh,Uttarakhand,"4,83,439",4.58%,1020,82.25
Chirang,Assam,"4,82,162",11.34%,969,63.55
Senapati,Manipur,"4,79,148",68.94%,937,63.6
Punch,Jammu and Kashmir,"4,76,835",27.97%,893,66.74
Lohardaga,Jharkhand,"4,61,790",26.68%,985,67.61
Imphal East,Manipur,"4,56,113",15.51%,1017,81.95
Hamirpur,Himachal Pradesh,"4,54,768",10.19%,1095,88.15
Baudh,Orissa,"4,41,162",18.16%,991,71.61
Kullu,Himachal Pradesh,"4,37,903",14.76%,942,79.4
Kulgam,Jammu and Kashmir,"4,24,483",7.73%,951,59.23
Thoubal,Manipur,"4,22,168",15.94%,1002,74.47
Doda,Jammu and Kashmir,"4,09,936",28.00%,919,64.68
Aizawl,Mizoram,"4,00,309",22.92%,1009,97.89
Jaintia Hills,Meghalaya,"3,95,124",32.10%,1013,61.64
Bandipora,Jammu and Kashmir,"3,92,232",28.65%,889,56.28
Chamoli,Uttarakhand,"3,91,605",5.74%,1019,82.65
West Khasi Hills,Meghalaya,"3,83,461",29.53%,980,77.87
Bilaspur,Himachal Pradesh,"3,81,956",12.05%,981,84.59
Dimapur,Nagaland,"3,78,811",127.29%,919,84.79
Dhalai,Tripura,"3,78,230",22.85%,944,85.72
Dadra and Nagar Haveli,Dadra and Nagar Haveli,"3,43,709",55.88%,774,76.24
Uttarkashi,Uttarakhand,"3,30,086",11.89%,958,75.81
Samba,Jammu and Kashmir,"3,18,898",17.01%,886,81.41
East Garo Hills,Meghalaya,"3,17,917",26.87%,972,73.95
Reasi,Jammu and Kashmir,"3,14,667",27.04%,890,58.15
Debagarh,Orissa,"3,12,520",14.01%,975,72.57
Ganderbal,Jammu and Kashmir,"2,97,446",36.50%,874,58.04
Ramban,Jammu and Kashmir,"2,83,713",31.99%,902,54.27
East Sikkim,Sikkim,"2,83,583",15.73%,873,83.85
Churachandpur,Manipur,"2,74,143",20.29%,975,82.78
Kohima,Nagaland,"2,67,988",131.81%,928,85.23
Shupiyan,Jammu and Kashmir,"2,66,215",25.97%,951,60.76
Bageshwar,Uttarakhand,"2,59,898",4.18%,1090,80.01
Champawat,Uttarakhand,"2,59,648",15.63%,980,79.83
Ri Bhoi,Meghalaya,"2,58,840",34.26%,953,75.67
Bijapur,Chhattisgarh,"2,55,230",8.78%,984,40.86
Mon,Nagaland,"2,50,260",80.36%,899,56.99
Rudraprayag,Uttarakhand,"2,42,285",6.53%,1114,81.3
South Andaman,Andaman and Nicobar Islands,"2,38,142",14.23%,871,89.13
Bishnupur,Manipur,"2,37,399",13.93%,999,75.85
Kishtwar,Jammu and Kashmir,"2,30,696",20.88%,920,56.2
The Dangs,Gujarat,"2,28,291",22.26%,1006,75.16
Dima Hasao,Assam,"2,14,102",13.84%,932,77.54
Karaikal,Puducherry,"2,00,222",17.23%,1047,87.05
Tuensang,Nagaland,"1,96,596",94.83%,929,73.08
Mokokchung,Nagaland,"1,94,622",60.94%,925,91.62
Daman,Daman and Diu,"1,91,173",67.71%,534,88.07
Ukhrul,Manipur,"1,83,998",30.70%,943,81.35
Papumpare,Arunachal Pradesh,"1,76,573",44.73%,980,79.95
Wokha,Nagaland,"1,66,343",98.81%,968,87.69
Phek,Nagaland,"1,63,418",111.84%,951,78.05
Lunglei,Mizoram,"1,61,428",17.64%,947,88.86
Changlang,Arunachal Pradesh,"1,48,226",18.18%,926,59.8
South Sikkim,Sikkim,"1,46,850",11.65%,915,81.42
Lohit,Arunachal Pradesh,"1,45,726",16.59%,912,68.18
Chandel,Manipur,"1,44,182",21.85%,933,71.11
South Garo Hills,Meghalaya,"1,42,334",40.95%,945,71.72
New Delhi,Delhi,"1,42,004",-20.72%,822,88.34
Kargil,Jammu and Kashmir,"1,40,802",18.02%,810,71.34
Zunheboto,Nagaland,"1,40,757",78.05%,976,85.26
Tamenglong,Manipur,"1,40,651",26.15%,943,70.05
Narayanpur,Chhattisgarh,"1,39,820",19.16%,994,48.62
West Sikkim,Sikkim,"1,36,435",10.69%,942,77.39
Leh,Jammu and Kashmir,"1,33,487",13.87%,690,77.2
Champhai,Mizoram,"1,25,745",16.01%,984,95.91
Lawngtlai,Mizoram,"1,17,894",60.14%,945,65.88
West Siang,Arunachal Pradesh,"1,12,274",8.04%,930,66.46
Tirap,Arunachal Pradesh,"1,11,975",11.61%,944,52.19
North and Middle Andaman,Andaman and Nicobar Islands,"1,05,597",-0.02%,925,83.91
East Siang,Arunachal Pradesh,"99,214",13.52%,980,72.54
Peren,Nagaland,"95,219",104.15%,915,77.95
Kurung Kumey,Arunachal Pradesh,"92,076",116.56%,1032,48.75
Mamit,Mizoram,"86,364",37.56%,927,84.93
Kinnaur,Himachal Pradesh,"84,121",7.39%,819,80
Kolasib,Mizoram,"83,955",27.28%,956,93.5
West Kameng,Arunachal Pradesh,"83,947",12.53%,819,67.07
Upper Subansiri,Arunachal Pradesh,"83,448",50.78%,998,63.8
Lower Subansiri,Arunachal Pradesh,"83,030",49.00%,984,74.35
East Kameng,Arunachal Pradesh,"78,690",37.62%,1029,60.02
Kiphire,Nagaland,"74,004",38.58%,956,69.54
Serchhip,Mizoram,"64,937",20.56%,977,97.91
Lakshadweep,Lakshadweep,"64,473",6.30%,946,91.85
Saiha,Mizoram,"56,574",-7.34%,979,90.01
Yanam,Puducherry,"55,626",77.19%,1038,79.47
Lower Dibang Valley,Arunachal Pradesh,"54,080",7.20%,928,69.13
Diu,Daman and Diu,"52,074",17.77%,1031,83.46
Longleng,Nagaland,"50,484",-21.57%,905,72.17
Tawang,Arunachal Pradesh,"49,977",28.40%,714,59
North Sikkim,Sikkim,"43,709",6.53%,767,78.01
Mahe,Puducherry,"41,816",13.54%,1184,97.87
Nicobars,Andaman and Nicobar Islands,"36,842",-12.42%,777,78.06
Upper Siang,Arunachal Pradesh,"35,320",5.87%,889,59.99
Lahul and Spiti,Himachal Pradesh,"31,564",-5.00%,903,76.81
Anjaw,Arunachal Pradesh,"21,167",14.19%,839,56.46
Dibang Valley,Arunachal Pradesh,"8,004",10.07%,813,64.1
